scenario,method,A_cov,A_cov_sd,A_gap,A_info,A_wrmse,A_inf
mean,Estimated-WCP-HGB,0.03709999999999996,0.02722108716063514,0.04540333333333325,1.0129041487144212,1.0342983093996,0.0009099999999999966
mean,Estimated-WCP-Logit,0.012816666666666653,0.01972530465362095,0.06098999999999989,1.1681944872832415,0.5681754385825967,0.036259999999999945
mean,Estimated-WCP-uLSIF,0.2076666666666666,0.029097473919667792,0.20792666666666662,0.5482244579921176,1.6107780133303187,0.0
mean,Oracle-WCP-Ridge,0.01299666666666664,0.018369192412434916,0.04762333333333323,1.093597402767011,0.0,0.026633333333333304
mixture,Estimated-WCP-HGB,0.06299333333333329,0.026304633567613835,0.06444666666666661,0.5083412796968072,0.6771173909881489,0.0
mixture,Estimated-WCP-Logit,0.03319999999999996,0.028324121558646165,0.04568999999999991,0.6843334011629231,0.5055105269478511,0.01645999999999994
mixture,Estimated-WCP-uLSIF,0.17828999999999998,0.025543476797345945,0.17852333333333328,0.259709584232792,0.8429060055353368,0.0
mixture,Oracle-WCP-Ridge,0.01098666666666665,0.018136641010022672,0.052989999999999905,1.088054432948548,0.0,0.04979999999999992
nonlinear,Estimated-WCP-HGB,0.01151666666666664,0.013653522555037545,0.020879999999999906,0.13858610097413407,,0.0
nonlinear,Estimated-WCP-Logit,0.006586666666666655,0.008787441404457919,0.025039999999999892,0.1263180291275013,,9.999999999998834e-05
nonlinear,Estimated-WCP-uLSIF,0.03177666666666661,0.02030786637688972,0.032989999999999936,0.028484144486259192,,0.0
tail_mixture,Estimated-WCP-HGB,0.11255666666666661,0.02484587918838208,0.11375999999999993,0.40838920178310434,0.6176802212700976,0.0
tail_mixture,Estimated-WCP-Logit,0.0742066666666666,0.021060355521990686,0.07637999999999993,0.270205557507939,0.4771920960688434,0.034033333333333256
tail_mixture,Estimated-WCP-uLSIF,0.18611666666666662,0.018546197367158828,0.18639666666666663,0.008309847144971814,0.40429031145317523,0.0
tail_mixture,Oracle-WCP-Ridge,0.006339999999999982,0.008444733106580627,0.04207666666666656,0.6690168290252807,0.0,0.15953333333333325
variance,Estimated-WCP-HGB,0.08794333333333328,0.034479515991215785,0.09060333333333327,0.7995953607166967,0.7745960801466281,1.9999999999999168e-05
variance,Estimated-WCP-Logit,0.016106666666666644,0.02423831297949494,0.05933666666666656,1.158269123576256,0.3729160198933568,0.05047333333333327
variance,Estimated-WCP-uLSIF,0.2899266666666666,0.02380005698824434,0.29019666666666666,0.0064708284235082975,1.4151341832286497,0.0
variance,Oracle-WCP-Ridge,0.012513333333333312,0.019926913585838382,0.0511599999999999,1.0545761936923144,0.0,0.05599333333333328
